epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,85.6685,0.9668,0.61173,0.30551,0.64483,1.07924,0.98938,1,0.995,0.79963,0.98938,1,0.995,0.87399,0.88736,0.42894,0.06188,0.53021,0.98362,0.0016436,0.0016436,0.0016436
29,87.211,0.9459,0.58454,0.34382,0.62044,1.10101,0.97414,1,0.995,0.76011,0.97414,1,0.995,0.83895,0.90946,0.51529,0.05355,0.48758,0.97227,0.0016304,0.0016304,0.0016304
30,88.8251,0.97122,0.46272,0.31186,0.61267,1.09831,0.99516,1,0.995,0.74841,0.99516,1,0.995,0.84957,0.92718,0.44762,0.05157,0.54265,0.99364,0.0016172,0.0016172,0.0016172
31,90.4173,0.96419,0.47521,0.31707,0.6329,1.08922,1,0.99312,0.995,0.73658,1,0.99312,0.995,0.81928,0.8912,0.66161,0.13016,0.52505,0.98852,0.001604,0.001604,0.001604
32,91.9188,0.93907,0.43252,0.28671,0.62743,1.08092,0.9955,1,0.995,0.77216,0.9955,1,0.995,0.86906,0.85802,0.48195,0.08397,0.49744,0.9908,0.0015908,0.0015908,0.0015908
33,93.4086,0.94117,0.48672,0.31227,0.5859,1.03211,0.99583,1,0.995,0.73561,0.99583,1,0.995,0.94342,0.88628,0.2691,0.05574,0.54205,0.9997,0.0015776,0.0015776,0.0015776
34,94.926,0.95207,0.37592,0.29096,0.59889,1.0783,0.99573,1,0.995,0.78726,0.99573,1,0.995,0.95327,0.84668,0.30282,0.10354,0.46126,0.97723,0.0015644,0.0015644,0.0015644
35,96.424,0.9378,0.39289,0.31752,0.61773,1.06263,0.99405,1,0.995,0.78849,0.99405,1,0.995,0.98066,0.8558,0.26881,0.10975,0.46215,0.97639,0.0015512,0.0015512,0.0015512
36,98.1685,0.86895,0.39026,0.30991,0.53202,1.04341,0.99185,1,0.995,0.75733,0.99185,1,0.995,0.97982,0.93428,0.20536,0.06716,0.50278,0.99854,0.001538,0.001538,0.001538
37,99.7103,0.93601,0.3357,0.30623,0.58373,1.0981,0.997,1,0.995,0.75914,0.997,1,0.995,0.95954,0.88883,0.20563,0.07943,0.46441,0.97387,0.0015248,0.0015248,0.0015248
