epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,240.804,0.64825,0.10495,0.21282,0.41708,0.97061,0.99741,1,0.995,0.77875,0.99741,1,0.995,0.995,0.83937,0.04915,0.01387,0.35032,0.98575,0.0003764,0.0003764,0.0003764
125,242.552,0.59795,0.11281,0.16378,0.41707,0.94462,0.99758,1,0.995,0.7816,0.99758,1,0.995,0.995,0.84539,0.04798,0.0133,0.34698,0.98521,0.0003632,0.0003632,0.0003632
126,244.235,0.65104,0.13018,0.178,0.42794,0.98927,0.99754,1,0.995,0.79014,0.99754,1,0.995,0.995,0.85116,0.04757,0.01158,0.34709,0.98998,0.00035,0.00035,0.00035
127,246.093,0.65689,0.17729,0.17588,0.46787,0.96865,0.99755,1,0.995,0.78505,0.99755,1,0.995,0.995,0.85099,0.05078,0.01133,0.33848,0.99,0.0003368,0.0003368,0.0003368
128,247.959,0.61203,0.12389,0.18498,0.43973,0.94945,0.99752,1,0.995,0.80221,0.99752,1,0.995,0.995,0.85212,0.0482,0.01128,0.32924,0.99014,0.0003236,0.0003236,0.0003236
129,249.586,0.59146,0.0966,0.17255,0.40007,0.94461,0.9976,1,0.995,0.78597,0.9976,1,0.995,0.995,0.86692,0.05561,0.011,0.32913,0.99897,0.0003104,0.0003104,0.0003104
130,251.139,0.605,0.12819,0.18539,0.39261,0.94348,0.9976,1,0.995,0.7835,0.9976,1,0.995,0.995,0.87659,0.06492,0.01116,0.33404,1.00316,0.0002972,0.0002972,0.0002972
131,252.803,0.60974,0.16025,0.19818,0.44372,0.96624,0.99756,1,0.995,0.78517,0.99756,1,0.995,0.995,0.8913,0.05585,0.01176,0.33491,1.00803,0.000284,0.000284,0.000284
132,254.576,0.59572,0.1141,0.15965,0.4329,0.93006,0.99753,1,0.995,0.78265,0.99753,1,0.995,0.995,0.89626,0.05017,0.01283,0.33905,1.01317,0.0002708,0.0002708,0.0002708
133,256.144,0.64523,0.14722,0.15955,0.4497,0.94986,0.9973,1,0.995,0.78383,0.9973,1,0.995,0.995,0.88418,0.05287,0.01313,0.33985,1.01142,0.0002576,0.0002576,0.0002576
134,257.737,0.57564,0.13347,0.17567,0.41914,0.94063,0.99721,1,0.995,0.79889,0.99721,1,0.995,0.995,0.87679,0.05293,0.01375,0.33907,1.00736,0.0002444,0.0002444,0.0002444
135,259.694,0.59959,0.13814,0.1759,0.39941,0.941,0.99689,1,0.995,0.79587,0.99689,1,0.995,0.995,0.88349,0.04744,0.01488,0.34075,1.00406,0.0002312,0.0002312,0.0002312
136,261.26,0.5802,0.10498,0.19051,0.4204,0.94842,0.99643,1,0.995,0.79035,0.99643,1,0.995,0.995,0.89491,0.04307,0.01503,0.33858,1.00464,0.000218,0.000218,0.000218
137,262.871,0.56548,0.12182,0.1637,0.41751,0.93743,0.99605,1,0.995,0.78862,0.99605,1,0.995,0.995,0.89794,0.04365,0.01353,0.33556,1.00669,0.0002048,0.0002048,0.0002048
138,264.419,0.58794,0.11243,0.19608,0.39548,0.92987,0.99626,1,0.995,0.78159,0.99626,1,0.995,0.995,0.8899,0.0465,0.01222,0.33154,1.00779,0.0001916,0.0001916,0.0001916
139,266.119,0.58653,0.12165,0.16268,0.42395,0.94159,0.99641,1,0.995,0.78185,0.99641,1,0.995,0.995,0.88515,0.04549,0.01117,0.32668,1.00637,0.0001784,0.0001784,0.0001784
140,267.663,0.58683,0.13914,0.17666,0.38961,0.93254,0.99577,1,0.995,0.77871,0.99577,1,0.995,0.995,0.8892,0.04404,0.01042,0.32876,1.00659,0.0001652,0.0001652,0.0001652
141,275.872,0.51254,0.07226,0.02763,0.32398,0.89906,0.99546,1,0.995,0.78232,0.99546,1,0.995,0.995,0.88558,0.04401,0.00981,0.33035,1.00552,0.000152,0.000152,0.000152
142,281.085,0.49859,0.10253,0.05875,0.3357,0.91926,0.99533,1,0.995,0.76725,0.99533,1,0.995,0.995,0.88673,0.04515,0.01005,0.33613,1.00419,0.0001388,0.0001388,0.0001388
143,286.134,0.48833,0.06383,0.01664,0.31015,0.89767,0.99556,1,0.995,0.76664,0.99556,1,0.995,0.995,0.89156,0.04595,0.01029,0.3379,1.00461,0.0001256,0.0001256,0.0001256
144,290.052,0.49346,0.06786,0.02408,0.2902,0.87198,0.99535,1,0.995,0.7746,0.99535,1,0.995,0.995,0.89807,0.0447,0.00983,0.34072,1.00759,0.0001124,0.0001124,0.0001124
145,293.213,0.45322,0.06944,0.02816,0.29963,0.87661,0.99547,1,0.995,0.76997,0.99547,1,0.995,0.995,0.90989,0.0437,0.00922,0.34886,1.01064,9.92e-05,9.92e-05,9.92e-05
146,296.366,0.46191,0.06406,0.02626,0.29115,0.88837,0.99542,1,0.995,0.76439,0.99542,1,0.995,0.995,0.90853,0.04286,0.00841,0.34622,1.01077,8.6e-05,8.6e-05,8.6e-05
147,298.303,0.46186,0.05781,0.03268,0.32686,0.86395,0.99548,1,0.995,0.76245,0.99548,1,0.995,0.995,0.90693,0.04174,0.00771,0.34646,1.01086,7.28e-05,7.28e-05,7.28e-05
148,300.56,0.46797,0.0926,0.0208,0.29278,0.87647,0.99631,1,0.995,0.76559,0.99631,1,0.995,0.995,0.90183,0.04138,0.00739,0.35089,1.01072,5.96e-05,5.96e-05,5.96e-05
149,302.353,0.47695,0.07478,0.02126,0.31641,0.88291,0.99644,1,0.995,0.7651,0.99644,1,0.995,0.995,0.89805,0.04075,0.00762,0.35092,1.01068,4.64e-05,4.64e-05,4.64e-05
150,304.802,0.44421,0.06696,0.02821,0.28453,0.86641,0.9967,1,0.995,0.76357,0.9967,1,0.995,0.995,0.89876,0.03992,0.00811,0.35334,1.01192,3.32e-05,3.32e-05,3.32e-05
